,Year,Coach1,Balance1,Coach2,Balance2,Coach3,Balance3,Coach4,Balance4,Coach1Wins,Coach1Lose,Coach2Wins,Coach2Lose,Coach3Wins,Coach3Lose,Coach4Wins,Coach4Lose,Total1,Total2,Total3,Total4,Precentage1,Precentage2,Precentage3,Precentage4
39,1982,Kevin Loughery,42-40,nan,nan,nan,nan,nan,nan,42.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,51,,,
41,1981,Hubie Brown,31-48,Mike Fratello,0-3,nan,nan,nan,nan,31.0,48.0,0.0,3.0,0.0,0.0,0.0,0.0,79,3,0,0,39,0,,
42,1980,Hubie Brown,50-32,nan,nan,nan,nan,nan,nan,50.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,60,,,
43,1979,Hubie Brown,46-36,nan,nan,nan,nan,nan,nan,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,56,,,
44,1978,Hubie Brown,41-41,nan,nan,nan,nan,nan,nan,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,50,,,
45,1977,Hubie Brown,31-51,nan,nan,nan,nan,nan,nan,31.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,37,,,
47,1976,Cotton Fitzsimmons,28-46,Gene Tormohlen,1-7,nan,nan,nan,nan,28.0,46.0,1.0,7.0,0.0,0.0,0.0,0.0,74,8,0,0,37,12,,
48,1975,Cotton Fitzsimmons,31-51,nan,nan,nan,nan,nan,nan,31.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,37,,,
49,1974,Cotton Fitzsimmons,35-47,nan,nan,nan,nan,nan,nan,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,42,,,
50,1973,Cotton Fitzsimmons,46-36,nan,nan,nan,nan,nan,nan,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,56,,,
51,1972,Richie Guerin,36-46,nan,nan,nan,nan,nan,nan,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,43,,,
52,1971,Richie Guerin,36-46,nan,nan,nan,nan,nan,nan,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,43,,,
53,1970,Richie Guerin,48-34,nan,nan,nan,nan,nan,nan,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,58,,,
54,1969,Richie Guerin,48-34,nan,nan,nan,nan,nan,nan,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,58,,,
55,1968,Richie Guerin,56-26,nan,nan,nan,nan,nan,nan,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,68,,,
56,1967,Richie Guerin,39-42,nan,nan,nan,nan,nan,nan,39.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,48,,,
57,1966,Richie Guerin,36-44,nan,nan,nan,nan,nan,nan,36.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,45,,,
59,1965,Harry Gallatin,17-16,Richie Guerin,28-19,nan,nan,nan,nan,17.0,16.0,28.0,19.0,0.0,0.0,0.0,0.0,33,47,0,0,51,59,,
60,1964,Harry Gallatin,46-34,nan,nan,nan,nan,nan,nan,46.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,57,,,
61,1963,Harry Gallatin,48-32,nan,nan,nan,nan,nan,nan,48.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0,0,60,,,
64,1962,Paul Seymour,5-9,Andrew Levane,20-40,Bob Pettit,4-2,nan,nan,5.0,9.0,20.0,40.0,4.0,2.0,0.0,0.0,14,60,6,0,35,33,66,
65,1961,Paul Seymour,51-28,nan,nan,nan,nan,nan,nan,51.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,79,0,0,0,64,,,
66,1960,Ed Macauley,46-29,nan,nan,nan,nan,nan,nan,46.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,75,0,0,0,61,,,
68,1959,Andy Phillip,6-4,Ed Macauley,43-19,nan,nan,nan,nan,6.0,4.0,43.0,19.0,0.0,0.0,0.0,0.0,10,62,0,0,60,69,,
69,1958,Alex Hannum,41-31,nan,nan,nan,nan,nan,nan,41.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,56,,,
72,1957,Red Holzman,14-19,Slater Martin,5-3,Alex Hannum,15-16,nan,nan,14.0,19.0,5.0,3.0,15.0,16.0,0.0,0.0,33,8,31,0,42,62,48,
73,1956,Red Holzman,33-39,nan,nan,nan,nan,nan,nan,33.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,45,,,
74,1955,Red Holzman,26-46,nan,nan,nan,nan,nan,nan,26.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,72,0,0,0,36,,,
76,1954,Andrew Levane,11-35,Red Holzman,10-16,nan,nan,nan,nan,11.0,35.0,10.0,16.0,0.0,0.0,0.0,0.0,46,26,0,0,23,38,,
77,1953,Andrew Levane,27-44,nan,nan,nan,nan,nan,nan,27.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0,0,0,38,,,
78,1952,Doxie Moore,17-49,nan,nan,nan,nan,nan,nan,17.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0,0,0,25,,,
81,1951,Dave McMillan,9-14,John Logan,2-1,Mike Todorovich,14-28,nan,nan,9.0,14.0,2.0,1.0,14.0,28.0,0.0,0.0,23,3,42,0,39,66,33,
83,1950,Roger Potter,1-6,Red Auerbach,28-29,nan,nan,nan,nan,1.0,6.0,28.0,29.0,0.0,0.0,0.0,0.0,7,57,0,0,14,49,,
1,2019,Brad Stevens,49-33,nan,nan,nan,nan,nan,nan,49.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,59,,,
2,2018,Brad Stevens,55-27,nan,nan,nan,nan,nan,nan,55.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,67,,,
3,2017,Brad Stevens,53-29,nan,nan,nan,nan,nan,nan,53.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,64,,,
4,2016,Brad Stevens,48-34,nan,nan,nan,nan,nan,nan,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,58,,,
5,2015,Brad Stevens,40-42,nan,nan,nan,nan,nan,nan,40.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,48,,,
6,2014,Brad Stevens,25-57,nan,nan,nan,nan,nan,nan,25.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,30,,,
7,2013,Doc Rivers,41-40,nan,nan,nan,nan,nan,nan,41.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,50,,,
8,2012,Doc Rivers,39-27,nan,nan,nan,nan,nan,nan,39.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,66,0,0,0,59,,,
9,2011,Doc Rivers,56-26,nan,nan,nan,nan,nan,nan,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,68,,,
10,2010,Doc Rivers,50-32,nan,nan,nan,nan,nan,nan,50.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,60,,,
11,2009,Doc Rivers,62-20,nan,nan,nan,nan,nan,nan,62.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,75,,,
12,2008,Doc Rivers,66-16,nan,nan,nan,nan,nan,nan,66.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,80,,,
13,2007,Doc Rivers,24-58,nan,nan,nan,nan,nan,nan,24.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,29,,,
14,2006,Doc Rivers,33-49,nan,nan,nan,nan,nan,nan,33.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,40,,,
15,2005,Doc Rivers,45-37,nan,nan,nan,nan,nan,nan,45.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,54,,,
17,2004,Jim O'Brien,22-24,John Carroll,14-22,nan,nan,nan,nan,22.0,24.0,14.0,22.0,0.0,0.0,0.0,0.0,46,36,0,0,47,38,,
18,2003,Jim O'Brien,44-38,nan,nan,nan,nan,nan,nan,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,53,,,
19,2002,Jim O'Brien,49-33,nan,nan,nan,nan,nan,nan,49.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,59,,,
21,2001,Rick Pitino,12-22,Jim O'Brien,24-24,nan,nan,nan,nan,12.0,22.0,24.0,24.0,0.0,0.0,0.0,0.0,34,48,0,0,35,50,,
22,2000,Rick Pitino,35-47,nan,nan,nan,nan,nan,nan,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,42,,,
23,1999,Rick Pitino,19-31,nan,nan,nan,nan,nan,nan,19.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0,0,0,38,,,
24,1998,Rick Pitino,36-46,nan,nan,nan,nan,nan,nan,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,43,,,
25,1997,M.L. Carr,15-67,nan,nan,nan,nan,nan,nan,15.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,18,,,
26,1996,M.L. Carr,33-49,nan,nan,nan,nan,nan,nan,33.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,40,,,
27,1995,Chris Ford,35-47,nan,nan,nan,nan,nan,nan,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,42,,,
28,1994,Chris Ford,32-50,nan,nan,nan,nan,nan,nan,32.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0,0,39,,,
